Wavelength (nm),MAPITejas2_n,MAPITejas2_k
856,1.70143,0
857,1.69998,0
858,1.69854,0
859,1.69709,0
860,1.69564,0
861,1.69419,0
862,1.69275,0
863,1.6913,0
864,1.68985,0
865,1.6884,0
866,1.68696,0
867,1.68551,0
868,1.68406,0
869,1.68261,0
870,1.68117,0
871,1.6801,0
872,1.67904,0
873,1.67798,0
874,1.67692,0
875,1.67586,0
876,1.6748,0
877,1.67374,0
878,1.67268,0
879,1.67162,0
880,1.67056,0
881,1.6695,0
882,1.66844,0
883,1.66738,0
884,1.66633,0
885,1.66527,0
886,1.66435,0
887,1.66343,0
888,1.66252,0
889,1.6616,0
890,1.66068,0
891,1.65981,0
892,1.65893,0
893,1.65805,0
894,1.65718,0
895,1.6563,0
896,1.65542,0
897,1.65454,0
898,1.65367,0
899,1.65279,0
900,1.65191,0
900,0.13499,2.38153
