Wavelength (nm),TaTm_n,TaTm_k
830,1.73749,0.04147
831,1.7376,0.04724
832,1.73765,0.04729
833,1.73771,0.04162
834,1.73778,0.04664
835,1.73783,0.05129
836,1.73791,0.05288
837,1.73798,0.04643
838,1.73802,0.03803
839,1.73804,0.04115
840,1.7381,0.04467
841,1.73817,0.03084
842,1.73825,0.0386
843,1.73835,0.04058
844,1.7384,0.0325
845,1.73846,0.03912
846,1.73851,0.04227
847,1.73858,0.04776
848,1.73868,0.0412
849,1.73876,0.04086
850,1.73884,0.03663
851,1.73893,0.04798
852,1.73901,0.04765
853,1.73907,0.04614
854,1.73914,0.04071
855,1.73918,0.04703
856,1.73917,0.04081
857,1.73917,0.03968
858,1.73921,0.03815
859,1.73928,0.03032
860,1.73935,0.04691
861,1.73938,0.03671
862,1.73937,0.03477
863,1.73936,0.04193
864,1.73935,0.03921
865,1.73931,0.04005
866,1.73925,0.04089
867,1.73917,0.04253
868,1.73912,0.04138
869,1.73903,0.04103
870,1.73898,0.04267
871,1.73895,0.04671
872,1.73887,0.04037
873,1.73882,0.04042
874,1.73876,0.04968
875,1.73872,0.04813
876,1.73866,0.051
877,1.73857,0.03739
878,1.73848,0.04186
879,1.7384,0.03908
880,1.73829,0.04357
881,1.73818,0.05129
882,1.73806,0.04528
883,1.73799,0.04817
884,1.73789,0.03647
885,1.73779,0.04097
886,1.73769,0.04549
887,1.73768,0.03781
888,1.73758,0.03419
889,1.73755,0.04197
890,1.7375,0.03917
891,1.73748,0.02777
892,1.73748,0.03516
893,1.73747,0.0352
894,1.73754,0.03729
895,1.73759,0.04431
896,1.73761,0.03491
897,1.73775,0.04276
898,1.73788,0.03622
899,1.73801,0.03956
900,1.73813,0.0524
900,0.13499,2.38153
