Wavelength (nm),CuSCN_n,CuSCN_k
777,1.82416,0.00406
778,1.82402,0.00405
779,1.82388,0.00405
780,1.82374,0.00404
781,1.8236,0.00403
782,1.82347,0.00403
783,1.82333,0.00402
784,1.82319,0.00401
785,1.82306,0.00401
786,1.82292,0.004
787,1.82279,0.004
788,1.82266,0.00399
789,1.82252,0.00398
790,1.82239,0.00398
791,1.82226,0.00397
792,1.82213,0.00396
793,1.822,0.00396
794,1.82187,0.00395
795,1.82174,0.00394
796,1.82161,0.00394
797,1.82148,0.00393
798,1.82135,0.00393
799,1.82122,0.00392
800,1.82109,0.00391
