Wavelength (nm),SiO2Brabec_n,SiO2Brabec_k
923,1.447,0
924,1.447,0
925,1.447,0
926,1.447,0
927,1.447,0
928,1.447,0
929,1.447,0
930,1.447,0
931,1.447,0
932,1.447,0
933,1.447,0
934,1.447,0
935,1.447,0
936,1.447,0
937,1.447,0
938,1.447,0
939,1.447,0
940,1.447,0
941,1.447,0
942,1.447,0
943,1.447,0
944,1.447,0
945,1.447,0
946,1.447,0
947,1.447,0
948,1.447,0
949,1.447,0
950,1.447,0
951,1.447,0
952,1.447,0
953,1.447,0
954,1.447,0
955,1.447,0
956,1.447,0
957,1.447,0
958,1.447,0
959,1.447,0
960,1.447,0
961,1.447,0
962,1.447,0
963,1.447,0
964,1.447,0
965,1.447,0
966,1.447,0
967,1.447,0
968,1.447,0
969,1.447,0
970,1.447,0
971,1.447,0
972,1.447,0
973,1.447,0
974,1.447,0
975,1.447,0
976,1.447,0
977,1.447,0
978,1.447,0
979,1.447,0
980,1.447,0
981,1.447,0
982,1.447,0
983,1.447,0
984,1.447,0
985,1.447,0
986,1.447,0
987,1.447,0
988,1.447,0
989,1.447,0
990,1.447,0
991,1.447,0
992,1.447,0
993,1.447,0
994,1.447,0
995,1.447,0
996,1.447,0
997,1.447,0
998,1.447,0
999,1.447,0
1000,1.447,0
